imdbID,Title,Year
tt13092028,Dans les rues d'Alexandrie,1912
tt8737540,Barsoum Looking for a Job,1923
tt0278445,Fi bilad Tout Ankh Amon,1923
tt0258759,Laila,1927
tt0258757,Kubla fil Sahara,1927
tt0280121,Souad al-ghagariyyah,1928
tt0258559,Fajia'a fok el haram,1928
tt0258996,Suad al ghagharia,1928
tt0258544,El bahr biyidhak lesh,1928
tt0274787,Sani al-qabaqib,1928
tt0258613,Ghadat el Sahara,1929
tt0258456,Bint el Nil,1929
tt0258708,Kesh Kesh Bey,1929
tt0274674,Al-moukhatarah al-aguibah,1929
tt0021570,Zeinab,1930
tt0259026,Taht dow el kamar,1930
tt0258644,El hawia,1931
tt0258822,Muguezat el hub,1931
tt0258940,Sahib al saada,1931
tt0262251,Awlad el zawat,1932
tt0268754,El warda el baida,1932
tt0262494,Inshudat el fuad,1932
tt0262356,El dahya,1932
tt0262594,Makhazane el ochak,1932
tt0262891,Wakhz el damir,1932
tt0262459,Hamsi telef wa wahad,1932
tt0262939,El zowaje,1933
tt0279639,Al-khatib nimrah talatach,1933
tt0262398,Endama toheb el maraa,1933
tt0262535,Kaferi am khatiatak,1933
tt0262439,Goha wa Abu Nawas,1933
tt0262250,Awlad Masr,1933
tt0268764,Yacout,1934
tt0267073,Uyun sahira,1934
tt0268379,Ibn el shaab,1934
tt0264568,El-ittihâm,1934
tt0268350,Hawadess Kish Kish Bey,1934
tt0268439,Al mandoubain,1934
tt0266396,Chagarat al-dorr,1935
tt0269166,Dr. Farhat,1935
tt0269848,Shalom el torgoman,1935
tt0269846,Shabah el madi,1935
tt0269142,Al defaa,1935
tt0268966,El bahar,1935
tt0270920,Doumou' el hub,1936
tt0237908,Wedad,1936
tt7783840,Mafish Fayda,1936
tt0270967,El ghandoura,1936
tt0271051,Queen of the Stages,1936
tt0270860,Bisalamtu ouz itjawaz,1936
tt0266299,Banknote,1936
tt0271058,Meet alf guinea,1936
tt0271047,Maarouf el Badawi,1936
tt0271007,Inshudat el radio,1936
tt0270834,Antar effendi,1936
tt0279640,Al-yad al-sawda,1936
tt0270850,Bawab el amara,1936
tt0271070,El muallem Bahbah,1936
tt0276158,Khafir el-Darak,1936
tt0276183,El-Hareb,1936
tt0255949,Doctor Epaminondas,1937
tt0281106,El radi,1937
tt0264788,Layla bint el sahara,1937
tt0281161,Salama fi khair,1937
tt0276179,El hal el akhir,1937
tt0276486,Serr el Doktor Ibrahim,1937
tt0276566,Tita and Wong,1937
tt0276262,Kulluh illa keda,1937
tt0275949,El ayd el saouda,1937
tt0276231,El izz bahdala,1937
tt0276311,El magid el khalid,1937
tt0281150,El sa'a saba,1937
tt0237487,Nashid al-Amal,1937
tt0275890,Abu Zarifa,1937
tt0276206,El hub el morestani,1937
tt0281362,Warra el setar,1937
tt0275889,Al abiad wa al aswad,1937
tt0267133,Zawja bil nayaba,1937
tt0276318,Mar'ati numera ithnain,1937
tt0281381,Yahya el hub,1938
tt0280855,Lachine,1938
tt0263532,Kapetan Skorpios,1938
tt0288771,The Girl Refugee,1938
tt0280857,Laila fil amr,1938
tt0281018,Osman wa Ali,1938
tt0254138,Engagement with Hurdles,1938
tt0281387,Yom el mona,1938
tt0281009,Omar wa Jamila,1938
tt0280572,Congratulations,1938
tt0280806,Kaddamti,1938
tt0281155,Saet el tanfiz,1938
tt0256227,Nida al wajeb,1938
tt0280425,Ana tabi keda,1938
tt0281003,Nufus haira,1938
tt0280782,Izz el talab,1938
tt0266331,Bint el-Basha el-Mudir,1938
tt0288690,When the Husband Travels,1938
tt0281271,El telegraph,1938
tt0275209,El azima,1939
tt0281188,Shi min la shi,1939
tt0281151,Salfni talata guineh,1939
tt0280810,Kaiss wa leila,1939
tt0266533,Fattich an el-mar'a,1939
tt0280466,Bayayet el tiffah,1939
tt0280608,El doctor,1939
tt0280858,Laila momtera,1939
tt0280834,El khanz el mafkoud,1939
tt0280864,Cairo Nights,1939
tt0280404,Agnihat el sahara,1939
tt0267138,Zelekha tuhib Achur,1939
tt0281259,Taman el saada,1939
tt0281388,Yom said,1940
tt0237133,Dananir,1940
tt0281169,Sarkha fil lail,1940
tt0281363,El warsha,1940
tt0280833,Khalaf el habayyeb,1940
tt0280463,El bashmikawwal,1940
tt0280813,Kalb el murra,1940
tt0280449,El awda il al rif,1940
tt0280725,Hayat el zalam,1940
tt0266532,Fatat mutamarrida,1940
tt0281257,Taht el selah,1940
tt0274573,Intisar al-chabab,1941
tt0281192,Si Umar,1941
tt0281160,Salaheddine el Ayubbi,1941
tt0280411,A Thousand and One Nights,1941
tt0280868,"Leila, bint el rif",1941
tt0280439,Ashab el aukul,1941
tt0281110,Rajul bayn murratain,1941
tt0281613,Assifa alal rif,1941
tt0280762,Ilal abad,1941
tt0033350,Areess min Istambul,1941
tt0266642,Imra'a khatira,1941
tt0280686,El forsane el talata,1941
