tmdbID,Title,Year
231080,Procession du tapis sacré,1897
1102153,زيارة الخديوي عباس حلمي للمعهد العلمي بمسجد سيدي أبو العباس,1907
725817,الأزهار المميتة,1918
1102130,شرف البدوي,1918
332042,مدام لوريتا,1919
331755,al-Khala al-Amirikaniyya,1920
561200,برسوم يبحث عن وظيفة,1923
330339,في بلاد توت عنخ آمون,1923
282345,الباشكاتب,1924
725818,نداء الرب,1926
331671,ليلى,1927
725831,صانع القباقيب,1928
725819,تحت سماء مصر,1928
284679,قبلة في الصحراء,1928
725826,سعاد الغجرية,1928
725828,الضحية,1928
329074,البحر بيضحك,1928
725829,فاجعة فوق الهرم,1928
725918,مأساة الحياة,1929
725915,جهنم في الرمال,1929
725917,بنت النيل,1929
725833,غادة الصحراء,1929
1265322,زينب,1930
329308,الكوكايين (الهاوية),1930
333250,صاحب السعادة كشكش بيه,1931
328001,أولاد الذوات,1932
1341408,٠٥٠٠١,1932
289454,أنشودة الفؤاد,1932
334235,وخز الضمير,1932
331826,Al-khatib nimrah talatach,1933
331670,كفرّى عن خطيئتك,1933
330871,عندما تحب المرأة,1933
1341498,أولاد مصر,1933
334490,الزواج,1933
279161,الوردة البيضاء,1933
1301983,عيون ساحرة,1934
263224,ياقوت,1934
1289376,الاتهام,1934
712506,المندوبان,1934
1341188,الدكتور فرحات,1935
329315,الضحايا,1935
333701,شجرة الدر,1935
1341064,شالوم الترجمان,1935
1383572,عنتر أفندي,1935
329471,دموع الحب,1935
1382806,بنكنوت,1936
1392289,مشمش افندي,1936
1382810,زوجة بالنيابة,1936
292465,وداد,1936
1341519,١٠٠ ألف جنيه,
332058,ملكة المسارح,1936
1086453,خفير الدرك,1936
331624,العز بهدلة,1937
273891,ليلي بنت الصحراء,1937
332948,نشيد الأمل,1937
333704,الرياضي,1937
274363,سلامة في خير,1937
587222,الساعة 7,1937
1382679,وراء الستار,1937
333964,التلغراف,1938
1086861,بنت الباشا المدير,1938
334427,يحيا الحب,1938
761485,أنا طبعي كده,1938
690655,حياة وآلام السيد المسيح,1938
201056,عثمان وعلي,1938
331897,لاشين,1938
487399,Η προσφυγοπούλα,1938
333259,سلفني 3 جنيه,1939
329532,فتش عن المرأة,1939
329470,الدكتور,1939
1382814,زليخا تحب عاشور,1939
1341223,في ليلة ممطرة,1939
1313212,نوادر عبدالهادي أفندي,1939
813619,بائعة التفاح (بياعة التفاح),1939
161257,العزيمة,1939
1191841,قيس وليلى,1939
334433,يوم سعيد,1940
580808,الباشمقاول,1940
1225813,تحت السلاح,1940
1225832,فتاة متمردة,1940
587103,حياة الظلام,1940
627254,قلب المرأة,1940
1226101,الفرسان الثلاثة,1940
270027,دنانير,1940
1225826,رجل بين امرأتين,1940
1225828,صرخة في الليل,1940
1225807,أصحاب العقول,1940
625388,الورشة,1940
331604,Intisar al-chabab,1941
333753,سي عمر,1941
331902,ليلى بنت الريف,1941
1226098,إلى الأبد,1941
327775,ألف ليلة وليلة,1941
1226104,امرأة خطرة,1941
1226108,صلاح الدين الأيوبي,1941
1226109,عاصفة على الريف,1941
1226111,مصنع الزوجات,1941
903423,ليلى بنت مدارس,1941
1226110,عريس من استنبول,1941
1226774,خفايا الدنيا,1942
1226558,أولاد الفقراء,1942
813635,بحبح في بغداد,1942
768146,أحب الغلط,1942
1226861,ليلة الفرح,1942
504015,ممنوع الحب,1942
1226565,الستات في خطر,1942
1226563,ابن الصحراء,1942
618889,عايدة,1942
1226782,رباب,1942
587069,ليلى,1942
1226784,على مسرح الحياة,1942
1226864,محطة الأنس,1942
813642,المتهمة,1942
1226568,الشريد,1942
1226554,أخيرا تزوجت,1942
1118929,بنت ذوات,1942
193421,علي بابا والأربعين حرامي,1942
1226562,ابن البلد,1942
327588,أحلام الشباب,1942
655056,لو كنت غني,1942
1016058,العريس الخامس,1942
1152704,جوهرة,1943
327789,al Amil,1943
1108552,رابحة,1943
1226965,من فات قديمه,1943
1226929,العامل,1943
329306,كليوباترا,1943
1226934,بنت الشيخ,1943
1226975,وادي النجوم,1943
1226971,نداء القلب,1943
1226962,قضية اليوم,1943
587097,البؤساء,1943
1094846,الطريق المستقيم,1943
1226968,نداء الدم,1943
1112003,أما جنان,1943
1200721,ماجدة,1943
1226948,حب من السماء,1943
1190753,برلنتي,1944
330374,غرام وانتقام,1944
1226979,يسقط الحب,1944
1105175,من الجاني ؟,1944
